,Date, Open, High, Low, Close
503,2015-01-02,2058.9,2072.36,2046.04,2058.2
502,2015-01-05,2054.44,2054.44,2017.34,2020.58
501,2015-01-06,2022.15,2030.25,1992.44,2002.61
500,2015-01-07,2005.55,2029.61,2005.55,2025.9
499,2015-01-08,2030.61,2064.08,2030.61,2062.14
498,2015-01-09,2063.45,2064.43,2038.33,2044.81
497,2015-01-12,2046.13,2049.3,2022.58,2028.26
496,2015-01-13,2031.58,2056.93,2008.25,2023.03
495,2015-01-14,2018.4,2018.4,1988.44,2011.27
494,2015-01-15,2013.75,2021.35,1991.47,1992.67
493,2015-01-16,1992.25,2020.46,1988.12,2019.42
492,2015-01-20,2020.76,2028.94,2004.49,2022.55
491,2015-01-21,2020.19,2038.29,2012.04,2032.12
490,2015-01-22,2034.3,2064.62,2026.38,2063.15
489,2015-01-23,2062.98,2062.98,2050.54,2051.82
488,2015-01-26,2050.42,2057.62,2040.97,2057.09
487,2015-01-27,2047.86,2047.86,2019.91,2029.55
486,2015-01-28,2032.34,2042.49,2001.49,2002.16
485,2015-01-29,2002.45,2024.64,1989.18,2021.25
484,2015-01-30,2019.35,2023.32,1993.38,1994.99
483,2015-02-02,1996.67,2021.66,1980.9,2020.85
482,2015-02-03,2022.71,2050.3,2022.71,2050.03
481,2015-02-04,2048.86,2054.74,2036.72,2041.51
480,2015-02-05,2043.45,2063.55,2043.45,2062.52
479,2015-02-06,2062.28,2072.4,2049.97,2055.47
478,2015-02-09,2053.47,2056.16,2041.88,2046.74
477,2015-02-10,2049.38,2070.86,2048.62,2068.59
476,2015-02-11,2068.55,2073.48,2057.99,2068.53
475,2015-02-12,2069.98,2088.53,2069.98,2088.48
474,2015-02-13,2088.78,2097.03,2086.7,2096.99
473,2015-02-17,2096.47,2101.3,2089.8,2100.34
472,2015-02-18,2099.16,2100.23,2092.15,2099.68
471,2015-02-19,2099.25,2102.13,2090.79,2097.45
470,2015-02-20,2097.65,2110.61,2085.44,2110.3
469,2015-02-23,2109.83,2110.05,2103.0,2109.66
468,2015-02-24,2109.1,2117.94,2105.87,2115.48
467,2015-02-25,2115.3,2119.59,2109.89,2113.86
466,2015-02-26,2113.91,2113.91,2103.76,2110.74
465,2015-02-27,2110.88,2112.74,2103.75,2104.5
464,2015-03-02,2105.23,2117.52,2104.5,2117.39
463,2015-03-03,2115.76,2115.76,2098.26,2107.78
462,2015-03-04,2107.72,2107.72,2087.62,2098.53
461,2015-03-05,2098.54,2104.25,2095.22,2101.04
460,2015-03-06,2100.91,2100.91,2067.27,2071.26
459,2015-03-09,2072.25,2083.49,2072.21,2079.43
458,2015-03-10,2076.14,2076.14,2044.16,2044.16
457,2015-03-11,2044.69,2050.08,2039.69,2040.24
456,2015-03-12,2041.1,2066.41,2041.1,2065.95
455,2015-03-13,2064.56,2064.56,2041.17,2053.4
